	unique_tcrs
P00030	178589
P00061	219295
P00127	218747
P00033	226777
P00175	260110
P00078	175402
P00173	207920
P00069	204108
P00093	437563
P00092	310830
P00121	113041
P00024	170160
P00042	187408
P00167	287099
P00160	276832
P00161	185069
P00040	198145
P00036	254652
P00075	202368
P00126	306773
P00080	279852
P00198	273314
P00007	170300
P00064	111182
P00088	203991
P00058	325367
P00163	147052
P00021	150266
P00195	197580
P00105	40418
P00015	289210
P00102	223883
P00199	155660
P00051	95903
P00048	183550
P00098	283350
P00083	187133
P00076	57303
P00087	158077
P00162	257364
P00191	56176
P00146	308314
P00106	445038
P00090	192490
P00137	124835
P00115	251213
P00027	300650
P00037	254573
P00186	179777
P00178	105087
P00089	279455
P00029	261629
P00096	141478
P00071	41723
P00057	160936
P00159	189795
P00063	138564
P00138	206078
P00019	312277
P00124	301303
P00194	237847
P00085	48791
P00113	201121
P00072	146463
P00097	84856
P00182	261009
P00050	251199
P00066	171709
P00149	290490
P00017	258950
P00166	147720
P00169	278566
P00052	167084
P00044	239701
P00176	263155
P00002	95681
P00067	257147
P00174	234997
P00043	180739
P00132	136373
P00164	108246
P00008	73109
P00143	166343
P00079	212677
P00062	196442
P00041	57092
P00012	147218
P00152	165277
P00100	143264
P00189	144845
P00028	287050
P00032	318912
P00170	339817
P00046	119576
P00065	158840
P00180	173772
P00193	252513
P00023	316390
P00150	135250
P00187	268785
P00151	150839
P00049	78754
P00185	300781
P00060	271826
P00135	225981
P00055	268463
P00128	299296
P00074	173500
P00006	201085
P00020	95713
P00197	248939
P00122	185211
P00016	240158
P00142	171161
P00141	256239
P00084	125440
P00045	140955
P00001	101745
P00140	304652
P00117	60077
P00094	291772
P00158	150152
P00005	99924
P00145	234293
P00034	120881
P00153	238772
P00109	64336
P00144	171619
P00133	120068
P00104	311902
P00013	197292
P00039	248852
P00101	107884
P00107	207448
P00025	212547
P00192	68914
P00059	254497
P00010	89553
P00095	214101
P00003	158357
P00073	101995
P00018	130979
P00110	262444
P00004	193121
P00183	219866
P00026	308147
P00056	152352
P00184	246469
P00014	316393
P00068	167402
P00114	123620
P00009	287037
P00129	198843
P00147	110350
P00171	218972
P00165	134280
P00081	202162
P00054	177236
P00131	128593
P00116	200551
P00155	265423
P00179	123615
P00172	259106
P00190	88779
P00156	341659
P00196	155866
P00125	224865
P00077	158061
P00148	80781
P00181	226599
P00011	99722
P00047	202981
P00035	331869
P00031	173791
P00119	230432
P00053	194252
P00134	225196
P00154	175125
P00168	165447
P00099	98472
